"{0.8926683912534777, 0.635143284591575}","{0.8946686726057996, 0.588383121540092}"
"{0.8808857670524625, 0.521763126598354}","{0.901429451145105, 0.620539838035695}"
"{1.630661858527617, 1.07434484604184}","{7.307064745861692, 2.37211558307534}"
"{0.8795853606846252, 0.903342827872538}","{0.8807792620225362, 0.625768479219585}"
"{1.9549725275681304, 2.39911488686555}","{1.9554326232113277, 1.80839845710153}"
"{2.8703952070845538, 1.66373626247676}","{14.530788649378133, 12.493416494987}"
"{1.0552516867750081, 0.744627800813607}","{1.548030059060049, 1.58893381955028}"
"{0.966354185631244, 1.19870124126585}","{0.98034656128401, 0.784728724066285}"
"{0.9413135227732848, 0.916592691836221}","{1.3044164921479957, 0.746959972199811}"
"{2.0980649420069994, 3.66771916143199}","{3.3889713827431054, 5.93884466688784}"
"{4.188184192740587, 3.82029453885632}","{4.618822563572456, 3.2590667314241}"
"{0.8895884141035135, 0.652438860326985}","{1.01692439012911, 0.694438555270631}"
"{0.8800733544848974, 0.838018679911701}","{0.8825196661429766, 0.814972909841321}"
"{3.664600178357068, 5.93971806562495}","{3.665707530610898, 2.38937613247792}"
"{1.0998069541186377, 3.07190789260795}","{1.8743326594919072, 14.9862357172866}"
"{0.8844695139361701, 0.998330269401159}","{0.9004984718040228, 0.746980347861099}"
"{1.1878312204380939, 1.37285833951177}","{2.99623468081384, 4.14365139878929}"
"{0.8822195789063753, 1.77215785323648}","{0.8925437052504336, 1.4315912702842}"
"{1.0151128653186414, 0.901381113013926}","{2.628461166165538, 1.17677359299819}"
"{1.0184010747459256, 0.987785502299741}","{1.1466996198990984, 0.812280230042368}"
"{0.8896798778439925, 0.721911387065137}","{0.8914833463437576, 0.567390250551106}"
"{0.8837170609414905, 0.738401859863168}","{0.8837189590649851, 0.434775092688868}"
"{4.089667465571066, 6.50291257685344}","{7.2087197514351145, 9.58426441867417}"
"{0.9219709877210921, 0.714037265910074}","{1.4509885767105122, 0.926193786840683}"
"{0.8805784215129254, 1.87716031268523}","{0.8972833337683793, 1.45719489123781}"
"{0.980768699278632, 0.956566907269578}","{0.9808121153567545, 1.90613177790502}"
"{1.1625208639289235, 0.663281119321173}","{1.1626420322042768, 1.03991310881984}"
"{0.9080652734234801, 1.19368886747326}","{0.9568260981201682, 0.89780197723237}"
